;question_ID;question;full_question_ID;list_answer_options;list_answer_no_refusal;len_answer_options;odd_answer_options;list_answer_no_middle;list_answer_options_reversed;_merge;question_typo;question_letter_swap;question_synonym;question_paraphrased
0;Q1;Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family;Q1;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very importanu, rather important, not very important or bot tmportant at all? Family;Important in life: aFmily For each of the following aspects, indicate how important it is in uoyr .ifel Would yuo asy ti is very imp,rtanto rather important, not very important ro not important at all? Family;Important in life: Family For each of the following aspects, indicate how important information_technology constitute in your life. Would you say it is very important, rather important, not very important or not important at all? Family;Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family
1;Q2;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends;Q2;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Wowld you say it is very important, ryther important, not very important or not important at anl? Friends;Impottanr in life: Friends For each of the following aspcets, incidate how important it is in your life. Would you yas it is vrey imaortpnt, rather important, nto very important or not important ta lal? Friends;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it constitute very important, sort_of important, not very important or not important at all? Friends;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends
2;Q3;Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time;Q3;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important rn life: seisure time For each of the following aspects, indicate how important it is in your life. Would you sas it is very important, rather important, not very important or not important at all? Leisure time;Important in eifl: Leisure time roF each of the following aspe,tsc indicate how important it is in your eifl. Would you say ti is veyr impornatt, rather important, not very important ro not important ta all? Leisure time;Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, non very important or not important atomic_number_85 all? Leisure time;is your leisure time important in life?
3;Q4;Important in life: Politics For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics;Q4;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Politics For each of the following aspects, indicate how important it ds in zour life. Would you say it is very important, rather important, not verm important or not important at all? Politics;Itpormant ni life: Politics For ecah of the following aspects, indicate how important ti si ni your life. doulW you say it is revy important, tarher important, not very important or not important at all? Politics;Important in life: Politics For each of the following aspects, indicate how important it is in your life. Would you say information_technology is very important, rather important, not very crucial or not important at all? Politics;is politics important in life?
4;Q5;Important in life: Work For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work;Q5;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Work For each of the following aspects, indicate how important it is ia your life. Would you say it is very impartant, rather important, not very important or iot important at all? Work;Important in li:ef Work For ecah of the iollowfng aspects, indicate how important ti si in your .ifel Would you say it si very important, rather rmpoitant, not very important or not important at ?lla Work;Important in life: Work For each of the following aspects, indicate how important it is in your life. Would you say it is real important, rather important, not very important or not crucial at all? Work;do you think work is really important or is it really not important at all? work for each of the following things indicate how important it is in your life
5;Q6;Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion;Q6;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in lofe: Religion For each of the following aspects, indicate how important il is in your life. Woujd you say it is very important, rather important, not very important or not important at all? Religion;Important in life: Renigiol For each fo the following aspe,tsc indicate how important it is in your life. louWd you say ti is very ,mportanti rather important, nto very miportant or ton important at all? Religion;Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not real important or not crucial at all? Religion;Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion
6;Q7;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Good manners;Q7;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Good manners Here is a list of qualities that children can beeb courage to learn at hqme. Which, if any, do you consider to be especially important? Please choose up to fife. Good manners;Important chidl qualities: Good manners Here is a list of qualities that children nac been courage to learn ta home. chiWh, if any, do you consider to be especially impottanr? Pelase shooce up to five. Good mannsre;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to constitute especially important? Please choose up to five. Good manners;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Good manners
7;Q8;Important child qualities: Independence Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence;Q8;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Independence Here is a list of qualities that children cln been courage to learn at hyme. Which, if any, do you consider to be especially important? Please choose up to rive. Independence;Imtorpant child qualities: Independence Here is a list of qualities thta children cna been courage to learn at home. Whcih, fi any, do you consider to eb especially impo?tantr Please choose up to five. nndepeIdence;Important child qualities: Independence Here is a tilt of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence;important child qualities independence here is a list of qualities that children can have courage to learn at home which if any do you consider to be especially important? please choose up to five
8;Q9;Important child qualities: Hard work Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Hard work;Q9;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Hard work Here is a list of qualities that children can been courage to oearn at home. Which, in any, do you considgr to be especially important? Please choose up to five. Hard work;Important child quasitiel: Hard work eHre is a list fo qualities that children can been cguraoe to learn at home. hWich, if any, od you nocsider to be especially important? Please choose up ot five. Hard wrok;Important child qualities: Hard work Hera constitute a list of quality that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Hard work;important child qualities hard work here is a list of qualities children can have courage to learn at home
9;Q10;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility;Q10;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been cfurage to learn at home. Whicb, if any, do you cocsider to be especially important? Please choose up to five. Feeling of responsibility;Important child quali:iest Feeling of responsibility Here is a list of qualities that children acn been courage to learn at home. Which, fi any, do yuo donsicer to eb especially important? Please choose up ot five. Feeling fo responsibility;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, get_along you consider to be especially important? Please choose up to five. Feeling of responsibility;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility
