selected;Spalte1;question_ID;question;full_question_ID;list_answer_options;list_answer_no_refusal;len_answer_options;odd_answer_options;list_answer_no_middle;original_emotional_prime;original_personality_prime;list_answer_options_reversed;_merge;question_typo;question_letter_swap;question_synonym;question_paraphrased;question_keyboardtypo
1;0;Q1;Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family;Q1;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: damily Foy eaca lf the following aspectss indiwate how importont ct iw in your life. Woulh yof say it as very important, rathvr important, not yery important or not importany ao all? Ftmily;Important ni life: Family For each of the following tspecas, indicate ohw itportanm it is ni yruo lfie. uoWld you say it is very important, rather important, not very important or not important at a?ll Family; Crucial in life: Family For each of the following aspects, indicate how significant it is in your life. Would you say it is very important, rather important, not very important or not at all important? Family   ;"How important is family to you?  Please rate its significance in your life on a scale of ""very important"" to ""not important at all"".  ";Imoortant in life: Family Fpr each if thr gollowing adpects, indixate how important iy is in uour lifr. Woukd ypu say it os vrry important, rather important, not vrry importsnt or not important st all? Family
1;1;Q2;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends;Q2;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Frienis Fpr each of thb following aspkcts, indicate hgw important ix is in ylur xife. Wolld you qay it is very importact, rzther important, not vexy important vr not impjrtant av all? Friends;Important ni life: Friends For ehca of eht following aspetcs, indicate woh important ti si in your life. Would oyu say it is very important, arther important, not very important or not important at all? Friends; Significant in life: Companions For each of the following aspects, indicate how essential it is in your life. Would you say it is very significant, rather essential, not very important or not important at all? Companions   ;How important are friends in your life? Please indicate if they are very important, rather important, not very important, or not important at all.  ;Important in lofe: Friends Fir esch of the folloeing aspects, indicatr how important ir ia ib your life. Wpuld you say it is very importanr, rathee important, noy vrry impprtant or bot impirtant at akl? Friends
1;2;Q3;Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time;Q3;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in lifg: Leisure time xor each oc xhe folmowing aspects, iedicate how important it is in yomr lifek Wbuld yyu say wt is vnry important, ratzer important, not verm important ar fot importagt af allz Leisure time;Important in life: Leisure time For each of the folgowinl tspecas, indicate ohw important it is ni yruo life. Would you asy it is very important, rather important, not very important ro not impartont at all? Lsieure time; Significant in life: Free time For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, rather important, not very essential or not important at all? Free time   ;How important is leisure time in your life? Please rate its importance as very important, rather important, not very important, or not important at all.  ;Importabt in life: Leisure tine For each of yhe followung aspects, inficate gow important it ia un yout life. Woild ypu ssy ut id very important, rather important, not very imporrant or not importsnt st all? Leisure time
1;3;Q4;Important in life: Politics For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics;Q4;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Importabt in life: Politijs For each of uhe following aapects, indicate vow important it ms fn your wife. yould ylu day st ij vvry important, rather important, xot very important or not impoatant at all? Polxtics;Important in life: Politics roF caeh of the following aspects, indicate how important it is ni yoru life. Would you say it is evry improtant, rather important, not evry important or not important at al?l Politics; Significant in life: Politics For each of the following facets, indicate how essential it is in your life. Would you say it is very crucial, somewhat important, not very essential or not important at all? Politics   ;How significant is politics in your life? Please rate its importance: very important, rather important, not very important, or not important at all.  ;Importsnt im lide: Poliyics For wach of the folloqing aspects, indicate how importanr iy is un your lide. Would you say it os vwry important, rather important, nit vwry important or nor inportant ar all? Politics
1;4;Q5;Important in life: Work For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work;Q5;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Work Fhr xach of ths foldowing aspects, indicate bow xmportant wt zs is sour lffe. Would yxu say ir is very important, rathhr important, not verx important gr not imhortant at alle Work;Important ni eifl: Work For each of the following aspects, indicate how important it is ni your life. Wolud you say it is yerv important, rather important, not very important ro ton important at all? roWk; Significant in life: Labor For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, somewhat important, not very crucial or not important at all? Labor   ;How important is work in your life? Please indicate if it is very important, rather important, not very important, or not important at all.  ;Importany in life: Woek Fpr each od the following sspects, indicatw how important it is in your lifr. Woild uou sat it us vert inportant, rathrr important, npt vety importamt or bot important at all? Work
1;5;Q6;Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion;Q6;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;False;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important tn life: Religion Ftr each of the following aspecty, indbcate how importdnt ik is in your lifd. Would yoo sty ut is vevy imxortant, rather impostant, noq verf important jr noi important at wll? Religion;Importtna in life: Religion For each of the flolowing aspects, indicate how important it is in your life. Would you say ti is very importtna, rather impornatt, not veyr pmiortant or nto important at all? Renigiol; Significant in life: Faith For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, fairly important, not very crucial or not important at all? Faith   ;How important is religion in your life? Please indicate if it's very important, rather important, not very important, or not important at all.  ;Importabt in lifr: Religion For esch of thw following aspects, indicate how important ir id un tour life. Woyld you ssy ut us very important, rather important, noy very imporrant ot not important st all? Relogion
0;6;Q7;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Good manners;Q7;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Importalt child qualitves: Good maxners Here is a llst of qualitied thad childrun can beez courame to learn et home. Which, if ajy, dw you consider to be especially important? Please choosi kp co fiveq Good mannmrs;Important ihcld qualieits: Good rannems Here is a list of qualities that children can been courage to learn at h.meo Which, fi any, do uoy consider to eb especially import?nta sleaPe choose up to five. Good manners; Essential child qualities: Good manners Here is a list of attributes that children can been bravery to learn at home. Which, if any, do you consider to be especially crucial? Please choose up to five. Good manners   ;Developing good manners is crucial for children. This list highlights qualities that children can learn at home.  Please select up to five qualities that you consider particularly important for children to develop.  ;Important chils wualities: Good nanners Here id a list of quakities that children can been courage to lesrn at hone. Whoch, if ant, do yoy consider tp ne especially inportant? Pleasw choose yp to fibe. Good nanners
0;7;Q8;Important child qualities: Independence Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence;Q8;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Independpnce kere is a sist oe qualsties that children cae bhen pourage ko lewrn at home. Wzich, ff any, dz you consider ao be especially important? Please yhoose up co fivs. Independence;Important child qualities: Independence Here si a lsit of qualities that children can been courage ot learn at home. Which, fi ,nya do you consider to eb especiayll tmportani? Please choose up to five. Independence;Important child qualities: Self-reliance Here is a list of qualities that children can been bravery to learn at home. Which, if any, do you consider to be especially significant? Please choose up to five. Self-reliance  ;Developing independence is a key quality children can cultivate at home.  This list highlights several qualities, and we'd like you to select up to five that you consider most important.  Independence is listed as one of these crucial qualities.  ;Important child qualitirs: Independence Here is a lisy og qualitirs that children can bren courage to learn ay home. Which, ig sny, do tou consider tp ne especiallt important? Please choose ip to five. Independence
0;8;Q9;Important child qualities: Hard work Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Hard work;Q9;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualitiss: Hdrd work rere gs a list of qualities that children caa yeen courage to leaon at hqme. Which, ix any, ao vou considar to be evpecially impootant? Please chqose uc tb five. Hard work;Important child qualities: Hard work Here is a tisl of qualisiet thta children can been courage ot learn at home. Which, if any, do you consider ot be especially important? Please ceoosh up ot ifve. Hard work; Essential child characteristics: Diligence Here is a list of qualities that children can be taught courage to learn at home. Which, if any, do you consider to be especially significant? Please select up to five. Diligence   ;Parents often seek to instill important qualities in their children.  Which of the following do you find particularly crucial for children to learn at home: hard work and courage? Please select up to five qualities from the list.  ;Impoetant child qualities: Hard qork Heee ia a list od qualities that children cab bren courahe yo kearn ay home. Which, if amy, do you consider to br especially important? Pleasw vhoose uo tp five. Hard work
0;9;Q10;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility;Q10;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important qhild qualities: Fceling og responsibility Here is a lisu pf quvlities that children man jeen courage to learn at homr. Whirh, if any, di you considez to be espicially important? Please csoose uv uo five. Feelibg of respgnsibility;Important cihld qulaities: Feeling of responsibility Here si a list of qualities that children can eebn courage to learn at home. Wh,chi if yna, do you conrides to eb especially important? Please choose up to five. Fgeline of responsibility; Significant child qualities: Sensation of responsibility Here is a list of qualities that children can been bravery to learn at home. Which, if any, do you consider to be especially vital? Please choose up to five. Sensation of responsibility   ;Developing a sense of responsibility is a crucial quality for children to cultivate. This list highlights key attributes that can be nurtured within a home environment.  From this list, identify up to five qualities you deem most important for a child's growth.  ;Imporrant child qualities: Feeling od responsibility Herr is a kist of qualitoes thay childreb can veen courage yo learn at home. Wgich, if ant, do uou consider to be wspecially important? Please choose ip to five. Feelinf of responaibility
