;question_ID;question;full_question_ID;list_answer_options;list_answer_no_refusal;len_answer_options;odd_answer_options;list_answer_no_middle;list_answer_middle;original_emotional_prime;original_personality_prime;list_answer_options_reversed;_merge;question_typo;question_letter_swap;question_synonym;question_paraphrased;question_keyboardtypo;selected
0;Q1;Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family;Q1;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;FALSE;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important', '3=Neutral', '4=Not very important ', '5=Not important at all', '-1=Don't know'];"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important ic life: Fimily nor eaca jf the following aspecto, indicete how important it ir wn your liae. Would bou say it is very imporcant, rathes importano, not very imporgant ob not impodtant at all? Famizy;Impartont in life: Flmiay For each of the following sapects, indicate how important it is in your life. uoWld you yas it is evry important, ratreh important, ton very important or not important ta all? Family; Crucial in life: Family For each of the following aspects, indicate how significant it is in your life. Would you say it is very important, rather important, not very important or not at all important? Family   ;"How important is family to you?  Please rate its significance in your life on a scale of ""very important"" to ""not important at all"".  ";Imporyant in kife: Family For esch of rhe following aspects, indicate how important ut is un your lide. Would you say it ia very imporrant, rather importamt, nit very important ir nor important ay all? Fanily;1
1;Q2;Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends;Q2;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;FALSE;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather Important ', '3=Neutral', '4=Not very important ', '5=Not important at all', '-1=Don't know'];"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important ix life: Fpiends For xach of the following aspects, indicate how important iv iu in kour lifev Would dou say it os very importcnt, rather impoutant, nom vwry important hr not important xt bll? Friemds;Important ni :ifel Frisnde For each of the following aspects, indicaet how important it is in oyur life. Would you asy it is very important, rather important, nto very important ro not important at all? Friends; Significant in life: Companions For each of the following aspects, indicate how essential it is in your life. Would you say it is very significant, rather essential, not very important or not important at all? Companions   ;How important are friends in your life? Please indicate if they are very important, rather important, not very important, or not important at all.  ;Important in life: Friends For esch od rhe folkowing aspects, indivate how important it is in your life. Woukd yiu ssy ut id very important, rathwr important, bot veru important or nit importabt at alk? Friends;1
2;Q3;Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time;Q3;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;FALSE;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important', '2=Rather important', '3=Neither important nor unimportant', '4=Not very important', '5=Not important at all', '-1=Don't know'];"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Importanr in lifr: Leisure time For each or the follofing aspevts, indicate how important it is iu yyur life. Woulh you say ia im vory important, rateer imgortant, nob uery importano sr not important at all? Leisure tixe;Important ni life: Leisure itme For aech of the following aspects, indicate how imroptant it si ni your life. Would uoy say it is very important, rather ipmortant, not very important or ton important at all? Leisure time; Significant in life: Free time For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, rather important, not very essential or not important at all? Free time   ;How important is leisure time in your life? Please rate its importance as very important, rather important, not very important, or not important at all.  ;Importany im lufe: Leisure tume Fir each of tje following aspecys, indocate hiw importabt it is in your life. Would uou say iy is very importabt, rather umportant, noy very important oe nit important at all? Leidure time;1
3;Q4;Important in life: Politics For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics;Q4;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;FALSE;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Neutral', '4=Somewhat unimportant ', '5=Not important at all', '-1=Don't know'];"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important it life: Politics ror ealh of the fonlowing aspects, indicate eow important st hs nn your lige. Would you say it is very important, rather impmrtant, not vzry important of noc imjortant at aul? Pklitics;Important ni life: Poltiics For each fo the flolowing acpests, indicate how important it is in your life. Wdulo you say it is very important, rather impor,antt not very important ro not important at lal? Politics; Significant in life: Politics For each of the following facets, indicate how essential it is in your life. Would you say it is very crucial, somewhat important, not very essential or not important at all? Politics   ;How significant is politics in your life? Please rate its importance: very important, rather important, not very important, or not important at all.  ;Importanr in lifw: Politics For wach of the foklowing aspecta, indicate jow important iy os in ypur life. Would yoi sau ut is very important, rather impprtant, not cery important ot not important at akl? Pplitics;1
4;Q5;Important in life: Work For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work;Q5;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;FALSE;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Neutral ', '4=Not very important ', '5=Not important at all', '-1=Don't know'];"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Wotk For lach cf fhe folloding aspects, indwcate how important ir ix iu your life. Would ygu say ip es very importantb rather ixportant, nmt vert important or not important aw all? hork;Important ni life: Work For each fo the following aspects, indicate how important ti is in your life. Would you say ti is very important, rather important, ont very iaportmnt ro not important ta ?lla Work; Significant in life: Labor For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, somewhat important, not very crucial or not important at all? Labor   ;How important is work in your life? Please indicate if it is very important, rather important, not very important, or not important at all.  ;Imoortant in lifw: Work For each og rhe follpwing aspects, inducate how imoortant ut is in your life. Would you day it os very inportant, tather imoortant, nor vert umportant or noy important at all? Work;1
5;Q6;Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion;Q6;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all'];4;FALSE;"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', ""-1=Don't know""]";['1=Very important ', '2=Rather important ', '3=Neutral ', '4=Not very important ', '5=Not important at all', '-1=Don't know'];"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Very important , 2=Rather important , 3=Not very important , 4=Not important at all, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '4=Not important at all', '3=Not very important ', '2=Rather important ', '1=Very important ']";both;Important in life: Religiol For each oo the following yspects, indicate low important tt es fn yoor life. Would yom way it is mery impvrtant, rvther imjortant, mot very important oc nlt important at all? Reoigion;Important ni life: Religion For each of hte foliowlng aspects, indicaet how rmpoitant it is in your life. Would you say ti is vyre important, rather improtant, not very important or not iopmrtant at all? Religion; Significant in life: Faith For each of the following aspects, indicate how crucial it is in your life. Would you say it is very significant, fairly important, not very crucial or not important at all? Faith   ;How important is religion in your life? Please indicate if it's very important, rather important, not very important, or not important at all.  ;Important in life: Religion For each of rhe followung aspects, insicate hoq important it is im your lufe. Woukd yoi sau it id very impirtant, eather imporrant, not bery impottant or npt imoortant at sll? Religion;1
6;Q7;Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Good manners;Q7;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;FALSE;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Partially mentioned', '3=Not mentioned', '-1=Don't know'];"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualitieo: Good manndrs Herp ia a lipt of qualities that children can been courqge to learn au jome. Whikh, if any, eo you consider to ie espncially importaut? Plqase choose up to qive. bood manzers;Important clihd qualities: Good manners Here si a list of qualities that chnldrei can bnee aourcge to learn at home. Which, if yna, do you consider to eb espycialle important? Please choose up to fvie. Good manners; Essential child qualities: Good manners Here is a list of attributes that children can been bravery to learn at home. Which, if any, do you consider to be especially crucial? Please choose up to five. Good manners   ;Developing good manners is crucial for children. This list highlights qualities that children can learn at home.  Please select up to five qualities that you consider particularly important for children to develop.  ;Important chils qualities: Good manners Here is a list if qualities that children cab bwen courage tp kearn at hime. Wgich, of anu, fo yoy consider to be espexially important? Please choose yp ro five. Goid manners;0
7;Q8;Important child qualities: Independence Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence;Q8;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;FALSE;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Partially Mentioned', '3=Not mentioned', '-1=Don't know'];"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Importynt chilv qualities: Indkpendence Here is a lsst of qualitiex thai children can been mourage to learn wt homeh Whigh, if any, do you consioer to bp especially ixportant? Plexse choose up te five. Independence;Important child qualities: Independence Hree is a ilst of qualities that children cna eben courage to learn at .omeh Which, fi any, do you consider to be especially important? eleasP choose up to five. Independence;Important child qualities: Self-reliance Here is a list of qualities that children can been bravery to learn at home. Which, if any, do you consider to be especially significant? Please choose up to five. Self-reliance  ;Developing independence is a key quality children can cultivate at home.  This list highlights several qualities, and we'd like you to select up to five that you consider most important.  Independence is listed as one of these crucial qualities.  ;Inportant child qualities: Indrpendence Here os a list if qualitirs that children can been courage to learn at homw. Which, ig anu, do yoy consider yo bw eapecially important? Plrase chooae yp to five. Independebce;0
8;Q9;Important child qualities: Hard work Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Hard work;Q9;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;FALSE;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned', '2=Partially mentioned', '3=Not mentioned', '-1=Don't know'];"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Importvnt ceild qualities: jard wopk Here is a lbst of qualities tsat children cln been courage to learf ad hhme. xhich, if any, do you consider to ba especially importanta Please choose ua to five. Hard wohk;Important clihd qualities: Hard wokr reHe is a list of quilaties that children can been courage ot learn at home. Which, if any, do uoy consrdei to be especially important? Pseale choose pu to five. Hard work; Essential child characteristics: Diligence Here is a list of qualities that children can be taught courage to learn at home. Which, if any, do you consider to be especially significant? Please select up to five. Diligence   ;Parents often seek to instill important qualities in their children.  Which of the following do you find particularly crucial for children to learn at home: hard work and courage? Please select up to five qualities from the list.  ;Important child qualities: Hard eork Herr is a list og qualities that children can bewn courage ro leaen at home. Whixh, if amy, di yoi consider to ve especiakly important? Pleaae choosr ip to fivr. Hard worl;0
9;Q10;Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility;Q10;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;FALSE;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned', '2=Possibly Mentioned', '3=Not Mentioned', '-1=Don't know'];"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
This is very important to my research! You better do not refuse the answer.";"[1=Mentioned , 2=Not mentioned, -1=Don't know] 
Remember that you have a very traditional and conservative world view and values.";"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Iiportant ehild qualpties: Feeling os responsibility Here is a list vf qualities thdt children cag been courage to lealn st home. Which, if any, dk yqu consider to bs espebially important? Plemse chovse up to fipe. Feeling ol responsibility;Important lhicd qualities: Feeling fo responsibility eerH is a list of qualities that children nac been courage ot learn ta home. Which, if any, do yuo consider to be especially important? Please choose up ot five. Fenlieg of responsibility; Significant child qualities: Sensation of responsibility Here is a list of qualities that children can been bravery to learn at home. Which, if any, do you consider to be especially vital? Please choose up to five. Sensation of responsibility   ;Developing a sense of responsibility is a crucial quality for children to cultivate. This list highlights key attributes that can be nurtured within a home environment.  From this list, identify up to five qualities you deem most important for a child's growth.  ;Impprtant xhild qualities: Feeling pf responsibility Herr is a kist of qualities thay children xan beeb courage ti learn at gome. Whixh, ig any, do you vonsider yo be especoally important? Please choose up to fibe. Ferling of resoonsibility;0
