,Category,Question,Model,Type,KL Divergence
0,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Missing Refusal,2.19
1,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Even Scale,0.21
2,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Reversed Answer Options,2.19
3,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Emotional Priming,2.19
4,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Key Typos,11.31
5,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Letter Swap,2.84
6,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Synonyms,9.27
7,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Paraphrase,7.87
8,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Keyboard Typos,2.2
9,Importance of Life Aspects,Q6,Llama-3.3-70B-Instruct,Paraphrase x Reversed,7.87
10,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Missing Refusal,0.11
11,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Even Scale,0.67
12,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Reversed Answer Options,4.27
13,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Emotional Priming,8.68
14,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Key Typos,2.18
15,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Letter Swap,0.2
16,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Synonyms,0.81
17,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Paraphrase,3.4
18,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Keyboard Typos,2.36
19,Importance of Life Aspects,Q6,Llama-3.1-8B-Instruct,Paraphrase x Reversed,5.41
20,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Missing Refusal,0.29
21,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Even Scale,1.7
22,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Reversed Answer Options,2.42
23,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Emotional Priming,0.26
24,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Key Typos,7.12
25,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Letter Swap,3.73
26,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Synonyms,1.75
27,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Paraphrase,2.58
